"","locname","year","sum_harvest","sum_tested","ptested","pRLN","group"
"1","Hardangervidda",2016,1477,36,0.024,0,"Hardangervidda"
"2","Norefjell - Reinsjøfjell",2016,171,1,0.006,NA,"Other"
"3","Nordfjella zone 2",2016,249,275,1,0.917,"Nordfjella zone 2"
"4","Rondane",2016,258,3,0.012,NA,"Rondane"
"6","Forollhogna",2016,317,104,0.328,0,"Forollhogna"
"7","Knutshø",2016,181,1,0.006,NA,"Knutshø"
"8","Blefjell",2016,16,NA,0,NA,"Other"
"9","Brattefjell - Vindeggen",2016,60,NA,0,NA,"Other"
"10","Fjellheimen",2016,33,NA,0,NA,"Other"
"12","Snøhetta",2016,517,NA,0,NA,"Snøhetta"
"13","Setesdal Ryfylke",2016,321,NA,0,NA,"Setesdal Ryfylke"
"14","Reinheimen-Breheimen",2016,462,NA,0,NA,"Reinheimen-Breheimen"
"15","Setesdal Austhei",2016,125,NA,0,NA,"Setesdal Austhei"
"18","Våmur - Roan",2016,38,NA,0,NA,"Other"
"19","Sølnkletten",2016,181,NA,0,NA,"Other"
"20","Setesdal Ryfylke",2017,269,4,0.015,NA,"Setesdal Ryfylke"
"22","Brattefjell - Vindeggen",2017,65,4,0.062,NA,"Other"
"23","Blefjell",2017,19,3,0.158,NA,"Other"
"24","Hardangervidda",2017,1166,921,0.79,0.095,"Hardangervidda"
"25","Norefjell - Reinsjøfjell",2017,165,153,0.927,0.026,"Other"
"26","Fjellheimen",2017,31,28,0.903,0.25,"Other"
"27","Nordfjella zone 2",2017,50,44,0.88,0.926,"Nordfjella zone 2"
"31","Reinheimen-Breheimen",2017,420,1,0.002,NA,"Reinheimen-Breheimen"
"32","Snøhetta",2017,475,4,0.008,NA,"Snøhetta"
"33","Rondane",2017,288,96,0.333,0.643,"Rondane"
"34","Sølnkletten",2017,183,4,0.022,NA,"Other"
"35","Forollhogna",2017,256,234,0.914,0.021,"Forollhogna"
"36","Knutshø",2017,129,73,0.566,0.041,"Knutshø"
"37","Tolga Østfjell",2017,18,0,0,NA,"Other"
"38","Setesdal Austhei",2017,29,0,0,NA,"Setesdal Austhei"
"39","Våmur - Roan",2017,33,0,0,NA,"Other"
"40","Setesdal Ryfylke",2018,233,174,0.747,0.759,"Setesdal Ryfylke"
"41","Setesdal Austhei",2018,46,33,0.717,0.879,"Setesdal Austhei"
"43","Våmur - Roan",2018,21,13,0.619,1,"Other"
"44","Brattefjell - Vindeggen",2018,85,82,0.965,0.726,"Other"
"46","Hardangervidda",2018,619,540,0.872,0.741,"Hardangervidda"
"47","Norefjell - Reinsjøfjell",2018,178,127,0.713,0.701,"Other"
"48","Fjellheimen",2018,40,44,1,0.818,"Other"
"49","Nordfjella zone 2",2018,60,66,1,0.974,"Nordfjella zone 2"
"51","Vest-Jotunheimen",2018,39,40,1,0.85,"Other"
"54","Reinheimen-Breheimen",2018,555,509,0.917,0.784,"Reinheimen-Breheimen"
"55","Snøhetta",2018,452,401,0.887,0.74,"Snøhetta"
"56","Rondane",2018,272,208,0.765,0.749,"Rondane"
"57","Sølnkletten",2018,127,99,0.78,0.79,"Other"
"58","Tolga Østfjell",2018,21,19,0.905,0.895,"Other"
"59","Forollhogna",2018,103,93,0.903,0.821,"Forollhogna"
"60","Knutshø",2018,113,80,0.708,0.7,"Knutshø"
"61","Setesdal Ryfylke",2019,244,133,0.545,0.805,"Setesdal Ryfylke"
"62","Setesdal Austhei",2019,44,23,0.523,0.739,"Setesdal Austhei"
"64","Våmur - Roan",2019,30,23,0.767,0.708,"Other"
"65","Brattefjell - Vindeggen",2019,88,72,0.818,0.644,"Other"
"66","Blefjell",2019,17,12,0.706,0.923,"Other"
"67","Hardangervidda",2019,1262,1192,0.945,0.769,"Hardangervidda"
"68","Nordfjella zone 2",2019,89,106,1,0.829,"Nordfjella zone 2"
"69","Norefjell - Reinsjøfjell",2019,89,70,0.787,0.686,"Other"
"70","Fjellheimen",2019,54,60,1,0.733,"Other"
"72","Vest-Jotunheimen",2019,33,26,0.788,0.731,"Other"
"76","Reinheimen-Breheimen",2019,479,434,0.906,0.674,"Reinheimen-Breheimen"
"77","Snøhetta",2019,439,362,0.825,0.681,"Snøhetta"
"78","Rondane",2019,301,223,0.741,0.709,"Rondane"
"79","Sølnkletten",2019,131,84,0.641,0.726,"Other"
"81","Forollhogna",2019,97,74,0.763,0.581,"Forollhogna"
"82","Knutshø",2019,137,92,0.672,0.707,"Knutshø"
"83","Setesdal Ryfylke",2020,212,139,0.656,0.736,"Setesdal Ryfylke"
"84","Setesdal Austhei",2020,59,38,0.644,0.615,"Setesdal Austhei"
"85","Skaulen Etnefjell",2020,30,26,0.867,0.667,"Other"
"86","Våmur - Roan",2020,22,19,0.864,0.684,"Other"
"87","Brattefjell - Vindeggen",2020,96,80,0.833,0.716,"Other"
"88","Blefjell",2020,16,15,0.938,0.8,"Other"
"89","Hardangervidda",2020,1321,1120,0.848,0.733,"Hardangervidda"
"90","Nordfjella zone 2",2020,56,76,1,0.897,"Nordfjella zone 2"
"91","Norefjell - Reinsjøfjell",2020,96,72,0.75,0.583,"Other"
"92","Fjellheimen",2020,17,18,1,0.944,"Other"
"94","Vest-Jotunheimen",2020,21,17,0.81,0.706,"Other"
"97","Reinheimen-Breheimen",2020,342,301,0.88,0.671,"Reinheimen-Breheimen"
"98","Snøhetta",2020,520,423,0.813,0.592,"Snøhetta"
"99","Rondane",2020,323,255,0.789,0.537,"Rondane"
"100","Sølnkletten",2020,48,42,0.875,0.651,"Other"
"101","Tolga Østfjell",2020,19,15,0.789,0.533,"Other"
"102","Forollhogna",2020,126,104,0.825,0.673,"Forollhogna"
"103","Knutshø",2020,214,167,0.78,0.599,"Knutshø"
"105","Setesdal Ryfylke",2021,278,224,0.806,0.722,"Setesdal Ryfylke"
"106","Setesdal Austhei",2021,134,98,0.731,0.745,"Setesdal Austhei"
"108","Våmur - Roan",2021,28,25,0.893,0.8,"Other"
"109","Brattefjell - Vindeggen",2021,67,49,0.731,0.633,"Other"
"111","Hardangervidda",2021,1505,1403,0.932,0.817,"Hardangervidda"
"112","Norefjell - Reinsjøfjell",2021,93,66,0.71,0.667,"Other"
"113","Nordfjella zone 2",2021,26,26,1,0.962,"Nordfjella zone 2"
"117","Reinheimen-Breheimen",2021,566,467,0.825,0.697,"Reinheimen-Breheimen"
"118","Snøhetta",2021,443,359,0.81,0.56,"Snøhetta"
"119","Rondane",2021,235,177,0.753,0.624,"Rondane"
"120","Sølnkletten",2021,83,71,0.855,0.746,"Other"
"121","Tolga Østfjell",2021,33,27,0.818,0.815,"Other"
"122","Forollhogna",2021,235,174,0.74,0.58,"Forollhogna"
"123","Knutshø",2021,140,102,0.729,0.627,"Knutshø"
